Title,Stock Number,Price,Dia. (mm),CWL (nm),FWHM (nm),Transmission (%),Blocking Wavelength Range (nm),Compatible Fluorophore,Bandwidth (nm),Optical Density OD,CA (mm),Surface Quality,AOI (°),AOI Tolerance (°),Coating,Manufacturer,Mount Thickness (mm),OD 5 Blocking Wavelength Range (nm) ,OD 6 Blocking Wavelength Range (nm),Substrate,Thickness Tolerance (mm),"Transmitted Wavefront, RMS",Type
"655nm CWL, 50mm Dia, 15nm Bandwidth, OD 6 Fluorescence Filter",86-369,$675,50.00 +0.00/-0.10,655 ,24.00 ,>93 ,250 - 1100 ,Qdot® 655 Emission ,15.00 ,?6.0 ,45.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,403 - 455 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"655nm CWL, 12.5mm Dia, 40nm Bandwidth, OD 6 Fluorescence Filter",67-023,$195,12.50 +0.00/-0.10,655 ,47.00 ,93.00 ,250 - 1100 ,Cy5.5 Excitation ,40.00 ,?6.0 ,8.8 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,500 - 615 & 688 - 850 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"655nm CWL, 25mm Dia, 40nm Bandwidth, OD 6 Fluorescence Filter",67-037,$260,25.00 +0.00/-0.10,655 ,47.00 ,93.00 ,250 - 1100 ,Cy5.5 Excitation ,40.00 ,?6.0 ,22.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,500 - 615 & 688 - 850 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"655nm CWL, 50mm Dia, 40nm Bandwidth, OD 6 Fluorescence Filter",67-051,$675,50.00 +0.00/-0.10,655 ,47.00 ,93.00 ,250 - 1100 ,Cy5.5 Excitation ,40.00 ,?6.0 ,45.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,500 - 615 & 688 - 850 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"661nm CWL, 12.5mm Dia, 20nm Bandwidth, OD 6 Fluorescence Filter",87-741,$195,12.50 +0.00/-0.10,661 ,26.00 ,93.00 ,250 - 1100 ,Alexa Fluor®647 Excitation / TO-PRO®-3 Iodide Emission ,20.00 ,?6.0 ,8.8 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,300 - 638 & 684 - 850 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"661nm CWL, 25mm Dia, 20nm Bandwidth, OD 6 Fluorescence Filter",87-755,$260,25.00 +0.00/-0.10,661 ,26.00 ,93.00 ,250 - 1100 ,Alexa Fluor®647 Excitation / TO-PRO®-3 Iodide Emission ,20.00 ,?6.0 ,22.00 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,300 - 638 & 684 - 850 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"661nm CWL, 50mm Dia, 20nm Bandwidth, OD 6 Fluorescence Filter",87-769,$675,50.00 +0.00/-0.10,661 ,26.00 ,93.00 ,250 - 1100 ,Alexa Fluor®647 Excitation / TO-PRO®-3 Iodide Emission ,20.00 ,?6.0 ,45.00 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,300 - 638 & 684 - 850 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"676nm CWL, 12.5mm Dia, 29nm Bandwidth, OD 6 Fluorescence Filter",86-980,$195,12.50 +0.00/-0.10,676 ,36.00 ,93.00 ,250 - 1100 ,Cy5 Emission ,29.00 ,?6.0 ,8.8 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,250 - 650 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"676nm CWL, 25mm Dia, 29nm Bandwidth, OD 6 Fluorescence Filter",86-988,$260,25.00 +0.00/-0.10,676 ,36.00 ,93.00 ,250 - 1100 ,Cy5 Emission ,29.00 ,?6.0 ,22.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,250 - 650 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"676nm CWL, 50mm Dia, 29nm Bandwidth, OD 6 Fluorescence Filter",86-996,$675,50.00 +0.00/-0.10,676 ,36.00 ,93.00 ,250 - 1100 ,Cy5 Emission ,29.00 ,?6.0 ,45.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,250 - 650 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"692nm CWL, 12.5mm Dia, 40nm Bandwidth, OD 6 Fluorescence Filter",67-024,$195,12.50 +0.00/-0.10,692 ,47.00 ,93.00 ,250 - 1100 ,Cy5 Emission ,40.00 ,?6.0 ,8.8 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,520 - 662 & 733 - 900 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"692nm CWL, 25mm Dia, 40nm Bandwidth, OD 6 Fluorescence Filter",67-038,$260,25.00 +0.00/-0.10,692 ,47.00 ,93.00 ,250 - 1100 ,Cy5 Emission ,40.00 ,?6.0 ,22.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,520 - 662 & 733 - 900 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"692nm CWL, 50mm Dia, 40nm Bandwidth, OD 6 Fluorescence Filter",67-052,$675,50.00 +0.00/-0.10,692 ,47.00 ,93.00 ,250 - 1100 ,Cy5 Emission ,40.00 ,?6.0 ,45.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,520 - 662 & 733 - 900 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"697nm CWL, 12.5mm Dia, 75nm Bandwidth, OD 6 Fluorescence Filter",87-743,$195,12.50 +0.00/-0.10,697 ,91.00 ,93.00 ,250 - 1100 ,Alexa Fluor® 680 Emission / Cy5.5™ Emission ,75.00 ,?6.0 ,8.8 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,470 - 632 & 800 - 900 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"697nm CWL, 25mm Dia, 75nm Bandwidth, OD 6 Fluorescence Filter",87-757,$260,25.00 +0.00/-0.10,697 ,91.00 ,93.00 ,250 - 1100 ,Alexa Fluor® 680 Emission / Cy5.5™ Emission ,75.00 ,?6.0 ,22.00 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,470 - 632 & 800 - 900 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"697nm CWL, 50mm Dia, 75nm Bandwidth, OD 6 Fluorescence Filter",87-771,$675,50.00 +0.00/-0.10,697 ,91.00 ,93.00 ,250 - 1100 ,Alexa Fluor® 680 Emission / Cy5.5™ Emission ,75.00 ,?6.0 ,45.00 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,470 - 632 & 800 - 900 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"710nm CWL, 12.5mm Dia, 40nm Bandwidth, OD 6 Fluorescence Filter",84-088,$195,12.50 +0.00/-0.10,710 ,47.00 ,93.00 ,250 - 1100 ,Cy7 Excitation ,40.00 ,?6.0 ,8.8 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,250 - 666 & 745 - 940 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
