Title,Stock Number,Price,AOI (°),Coating,Cut-Off Wavelength (nm),Dia. (mm),Substrate,Optical Density OD,Rejection Wavelength (nm),Surface Quality,Thickness (mm),Thickness Tolerance (mm),Transmission (%),Transmission Wavelength (nm),Type,CA (%),"Transmitted Wavefront, P-V",Slope Factor (%),Cut-Off Tolerance (%),Wavelength Range (nm)
"675nm 25mm Diameter, OD 2 Shortpass Filter",64-605,$125,0 ,Traditional Coated ,675.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,700 - 875 ,40-20 ,3.00 ,±0.1 ,>85 ,400 - 655 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 875 
"675nm 50mm Diameter, OD 2 Shortpass Filter",64-613,$195,0 ,Traditional Coated ,675.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,700 - 875 ,40-20 ,5.00 ,±0.1 ,>85 ,400 - 655 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 875 
"700nm 12.5mm Diameter, OD 2 Shortpass Filter",47-816,$89,0 ,Traditional Coated ,700.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,725 - 900 ,40-20 ,1.50 ,±0.1 ,>85 ,400 - 680 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 900 
"700nm 25mm Diameter, OD 2 Shortpass Filter",47-291,$125,0 ,Traditional Coated ,700.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,725 - 900 ,40-20 ,3.00 ,±0.1 ,>85 ,400 - 680 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 900 
"700nm 50mm Diameter, OD 2 Shortpass Filter",64-667,$195,0 ,Traditional Coated ,700.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,725 - 900 ,40-20 ,5.00 ,±0.1 ,>85 ,400 - 680 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 900 
"725nm 12.5mm Diameter, OD 2 Shortpass Filter",64-598,$89,0 ,Traditional Coated ,725.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,750 - 925 ,40-20 ,1.50 ,±0.1 ,>85 ,400 - 705 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 925 
"725nm 25mm Diameter, OD 2 Shortpass Filter",64-606,$125,0 ,Traditional Coated ,725.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,750 - 925 ,40-20 ,3.00 ,±0.1 ,>85 ,400 - 705 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 925 
"725nm 50mm Diameter, OD 2 Shortpass Filter",64-614,$195,0 ,Traditional Coated ,725.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,750 - 925 ,40-20 ,5.00 ,±0.1 ,>85 ,400 - 705 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 925 
"750nm 12.5mm Diameter, OD 2 Shortpass Filter",47-817,$89,0 ,Traditional Coated ,750.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,800 - 990 ,40-20 ,1.50 ,±0.1 ,>85 ,400 - 725 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 990 
"750nm 25mm Diameter, OD 2 Shortpass Filter",47-585,$125,0 ,Traditional Coated ,750.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,800 - 990 ,40-20 ,3.00 ,±0.1 ,>85 ,400 - 725 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 990 
