Title,Stock Number,Price,Dia. (mm),CWL (nm),CWL Tolerance (nm),FWHM (nm),FWHM Tolerance (nm),Minimum Transmission (%),Blocking Wavelength Range (nm),Optical Density OD,CA (mm),Surface Quality,Angle Sensitivity,Coating,Construction,Mount Thickness (mm),Operating Temperature (°C),Thickness Tolerance (mm),Type,Typical Applications
"297nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-815,$209,25.00 +0.00/-0.25,297 ,+3.0/-0.0 ,10.00 ,±2 ,>15 ,200 - 10000 ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Mercury Emission 
"297nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-882,$399,50.00 +0.00/-0.25,297 ,+3.0/-0.0 ,10.00 ,±2 ,>15 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Mercury Emission 
"300nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-749,$135,12.50 +0.00/-0.25,300 ,+3.0/-0.0 ,10.00 ,±2 ,>15 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"300nm CWL, 40nm FWHM, 12.5mm Mounted Diameter",67-750,$135,12.50 +0.00/-0.25,300 ,+10.0/-0.0 ,40.00 ,±8 ,>20 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"300nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-816,$209,25.00 +0.00/-0.25,300 ,+3.0/-0.0 ,10.00 ,±2 ,>15 ,200 - 10000 ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"300nm CWL, 40nm FWHM, 25mm Mounted Diameter",67-817,$209,25.00 +0.00/-0.25,300 ,+10.0/-0.0 ,40.00 ,±8 ,>20 ,200 - 10000 ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"300nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-883,$399,50.00 +0.00/-0.25,300 ,+3.0/-0.0 ,10.00 ,±2 ,>15 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"300nm CWL, 40nm FWHM, 50mm Mounted Diameter",67-884,$399,50.00 +0.00/-0.25,300 ,+10.0/-0.0 ,40.00 ,±8 ,>20 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"320nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-821,$209,25.00 +0.00/-0.25,320 ,+3.0/-0.0 ,10.00 ,±2 ,>25 ,200 - 10000 ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,6.9 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"307nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-751,$135,12.50 +0.00/-0.25,307 ,+3.0/-0.0 ,10.00 ,±2 ,>15 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Zn Emission Line 
"307nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-818,$209,25.00 +0.00/-0.25,307 ,+3.0/-0.0 ,10.00 ,±2 ,>15 ,200 - 10000 ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Zn Emission Line 
"307nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-885,$399,50.00 +0.00/-0.25,307 ,+3.0/-0.0 ,10.00 ,±2 ,>15 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Zn Emission Line 
"310nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-752,$135,12.50 +0.00/-0.25,310 ,+3.0/-0.0 ,10.00 ,±2 ,>15 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"310nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-819,$209,25.00 +0.00/-0.25,310 ,+3.0/-0.0 ,10.00 ,±2 ,>15 ,200 - 10000 ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"310nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-886,$399,50.00 +0.00/-0.25,310 ,+3.0/-0.0 ,10.00 ,±2 ,>15 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"313nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-753,$135,12.50 +0.00/-0.25,313 ,+3.0/-0.0 ,10.00 ,±2 ,>15 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Mercury Emission 
"313nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-820,$209,25.00 +0.00/-0.25,313 ,+3.0/-0.0 ,10.00 ,±2 ,>15 ,200 - 10000 ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Mercury Emission 
"313nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-887,$399,50.00 +0.00/-0.25,313 ,+3.0/-0.0 ,10.00 ,±2 ,>15 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Mercury Emission 
"320nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-754,$135,12.50 +0.00/-0.25,320 ,+3.0/-0.0 ,10.00 ,±2 ,>25 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,6.9 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
