Title,Stock Number,Price,AOI (°),Coating,Cut-Off Wavelength (nm),Dia. (mm),Substrate,P-Polarization Transmission (%),Reflection (%),Reflection Wavelength (nm),S-Polarization Transmission (%),Dimensions (mm),Surface Quality,Thickness (mm),Thickness Tolerance (mm),Transmission (%),Transmission Wavelength (nm),Type,Dimensional Tolerance (mm),"Transmitted Wavefront, RMS",Slope Factor (%),Cut-Off Tolerance (%),S-Polarization Reflection (%),P-Polarization Reflection (%),Coating Specification,Wavelength Range (nm)
"650nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",69-217,$135,45 ,Hard Coated ,650 ,,Fused Silica ,>80 ,>97 Average Polarization ,675 - 850 ,>80 ,25.2 x 35.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,400 - 630 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,400 - 850 
"700nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",69-218,$135,45 ,Hard Coated ,700 ,,Fused Silica ,>80 ,>97 Average Polarization ,725 - 900 ,>80 ,25.2 x 35.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,400 - 680 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,400 - 900 
"750nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",69-219,$135,45 ,Hard Coated ,750 ,,Fused Silica ,>80 ,>97 Average Polarization ,800 - 990 ,>80 ,25.2 x 35.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,400 - 725 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,400 - 990 
"800nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",69-220,$135,45 ,Hard Coated ,800 ,,Fused Silica ,>80 ,>97 Average Polarization ,850 - 1050 ,>80 ,25.2 x 35.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,400 - 775 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,400 - 1050 
"850nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",69-221,$135,45 ,Hard Coated ,850 ,,Fused Silica ,>80 ,>97 Average Polarization ,910 - 1110 ,>80 ,25.2 x 35.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,400 - 820 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,400 - 1110 
"900nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",69-222,$135,45 ,Hard Coated ,900 ,,Fused Silica ,>80 ,>97 Average Polarization ,960 - 1170 ,>80 ,25.2 x 35.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,465 - 865 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,465 - 1170 
"950nm, 12.5mm Diameter, Dichroic Shortpass Filter",86-676,$99,45 ,Hard Coated ,950 ,12.50 ,Fused Silica ,>80 ,>97 Average Polarization ,997 - 1235 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,495 - 912 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,495 - 1235 
"1000nm, 12.5mm Diameter, Dichroic Shortpass Filter",86-677,$99,45 ,Hard Coated ,1000 ,12.50 ,Fused Silica ,>80 ,>97 Average Polarization ,1050 - 1300 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,520 - 960 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,520 - 1300 
"1050nm, 12.5mm Diameter, Dichroic Shortpass Filter",86-678,$99,45 ,Hard Coated ,1050 ,12.50 ,Fused Silica ,>80 ,>97 Average Polarization ,1102 - 1365 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,546 - 1008 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,546 - 1365 
"1100nm, 12.5mm Diameter, Dichroic Shortpass Filter",86-679,$99,45 ,Hard Coated ,1100 ,12.50 ,Fused Silica ,>80 ,>97 Average Polarization ,1155 - 1430 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,572 - 1056 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,572 - 1430 
"1150nm, 12.5mm Diameter, Dichroic Shortpass Filter",86-680,$99,45 ,Hard Coated ,1150 ,12.50 ,Fused Silica ,>80 ,>97 Average Polarization ,1207 - 1495 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,598 - 1104 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,598 - 1495 
"1200nm, 12.5mm Diameter, Dichroic Shortpass Filter",86-681,$99,45 ,Hard Coated ,1200 ,12.50 ,Fused Silica ,>80 ,>97 Average Polarization ,1260 - 1560 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,624 - 1152 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,624 - 1560 
"950nm, 12.5 x 17.6mm, Dichroic Shortpass Filter",86-682,$99,45 ,Hard Coated ,950 ,,Fused Silica ,>80 ,>97 Average Polarization ,997 - 1235 ,>80 ,12.5 x 17.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,495 - 912 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,495 - 1235 
"1000nm, 12.5 x 17.6mm, Dichroic Shortpass Filter",86-683,$99,45 ,Hard Coated ,1000 ,,Fused Silica ,>80 ,>97 Average Polarization ,1050 - 1300 ,>80 ,12.5 x 17.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,520 - 960 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,520 - 1300 
"1050nm, 12.5 x 17.6mm, Dichroic Shortpass Filter",86-684,$99,45 ,Hard Coated ,1050 ,,Fused Silica ,>80 ,>97 Average Polarization ,1102 - 1365 ,>80 ,12.5 x 17.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,546 - 1008 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,546 - 1365 
"1100nm, 12.5 x 17.6mm, Dichroic Shortpass Filter",86-685,$99,45 ,Hard Coated ,1100 ,,Fused Silica ,>80 ,>97 Average Polarization ,1155 - 1430 ,>80 ,12.5 x 17.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,572 - 1056 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,572 - 1430 
