Title,Stock Number,Price,Dia. (mm),Cut-On Wavelength (nm),Rejection Wavelength (nm),Transmission Wavelength (nm),Thickness (mm),Thickness Tolerance (mm),Wavelength Range (nm),AOI (°),Coating,Substrate,Optical Density OD,Surface Quality,Transmission (%),Type,CA (%),"Transmitted Wavefront, P-V",Cut-On Tolerance (%),Slope Factor (%),Coating Specification
"1050nm 12.5mm Diameter, OD 2 Longpass Filter",49-037,$89,12.50 +0.00/-0.20,1050 ,790 - 1000 ,1085 - 2000 ,1.50 ,±0.1 ,790 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"1050nm 25.0mm Diameter, OD 2 Longpass Filter",48-564,$125,25.00 +0.00/-0.20,1050 ,790 - 1000 ,1085 - 2000 ,3.00 ,±0.1 ,790 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"1050nm 50mm Diameter, OD 2 Longpass Filter",64-710,$195,50.00 +0.00/-0.20,1050 ,790 - 1000 ,1085 - 2000 ,5.00 ,±0.1 ,709 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"1075nm 12.5mm Diameter, OD 2 Longpass Filter",64-681,$89,12.50 +0.00/-0.20,1075 ,820 - 1025 ,1110 - 2000 ,1.50 ,±0.1 ,820 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"1075nm 25mm Diameter, OD 2 Longpass Filter",64-688,$125,25.00 +0.00/-0.20,1075 ,820 - 1025 ,1110 - 2000 ,3.00 ,±0.1 ,820 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"1075nm 50mm Diameter, OD 2 Longpass Filter",64-695,$195,50.00 +0.00/-0.20,1075 ,820 - 1025 ,1110 - 2000 ,5.00 ,±0.1 ,820 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"1100nm 12.5mm Diameter, OD 2 Longpass Filter",49-038,$89,12.50 +0.00/-0.20,1100 ,825 - 1045 ,1135 - 2000 ,1.50 ,±0.1 ,825 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"1100nm 25.0mm Diameter, OD 2 Longpass Filter",48-565,$125,25.00 +0.00/-0.20,1100 ,825 - 1045 ,1135 - 2000 ,3.00 ,±0.1 ,825 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"1100nm 50mm Diameter, OD 2 Longpass Filter",64-711,$195,50.00 +0.00/-0.20,1100 ,825 - 1045 ,1135 - 2000 ,5.00 ,±0.1 ,825 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"1125nm 12.5mm Diameter, OD 2 Longpass Filter",64-682,$89,12.50 +0.00/-0.20,1125 ,860 - 1070 ,1160 - 2000 ,1.50 ,±0.1 ,860 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"1125nm 25mm Diameter, OD 2 Longpass Filter",64-689,$125,25.00 +0.00/-0.20,1125 ,860 - 1070 ,1160 - 2000 ,3.00 ,±0.1 ,860 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"1125nm 50mm Diameter, OD 2 Longpass Filter",64-696,$195,50.00 +0.00/-0.20,1125 ,860 - 1070 ,1160 - 2000 ,5.00 ,±0.1 ,860 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"1150nm 12.5mm Diameter, OD 2 Longpass Filter",67-294,$89,12.50 +0.00/-0.20,1150 ,875 - 1095 ,1190 - 2000 ,1.50 ,±0.1 ,875 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
