Title,Stock Number,Price,Dia. (mm),CWL (nm),CWL Tolerance (nm),FWHM (nm),FWHM Tolerance (nm),Minimum Transmission (%),Blocking Wavelength Range (nm),Compatible Fluorophore,Optical Density OD,CA (mm),Surface Quality,Coating,Durability,Mount Thickness (mm),Substrate,Substrate Thickness (mm),Type
"725nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-805,$495,50.00 +0.0/-0.1,725.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,FM 4-64 Emission ,?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"750nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-647,$130,12.50 +0.0/-0.1,750.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,"DiR, HiLyte Fluor 750 ",?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"750nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-659,$205,25.00 +0.0/-0.1,750.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,"DiR, HiLyte Fluor 751 ",?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"750nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-671,$495,50.00 +0.0/-0.1,750.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,"DiR, HiLyte Fluor 752 ",?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"775nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-782,$130,12.50 +0.0/-0.1,775.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,"IRDye800CW, DyLight 800, Cy7, LIVE/DEAD fixable Near-IR Dead Cell Stain Absorption ",?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"775nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-794,$205,25.00 +0.0/-0.1,775.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,"IRDye800CW, DyLight 800, Cy7, LIVE/DEAD fixable Near-IR Dead Cell Stain Absorption ",?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"775nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-806,$495,50.00 +0.0/-0.1,775.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,"IRDye800CW, DyLight 800, Cy7, LIVE/DEAD fixable Near-IR Dead Cell Stain Absorption ",?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"800nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-648,$130,12.50 +0.0/-0.1,800.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,"ICG, IRDye800RS, Alexa Fluor® 790 ",?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"800nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-660,$205,25.00 +0.0/-0.1,800.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,"ICG, IRDye800RS, Alexa Fluor® 791 ",?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"800nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-672,$495,50.00 +0.0/-0.1,800.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,"ICG, IRDye800RS, Alexa Fluor® 792 ",?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
