"","name","price","nm.FWHM","nm.CWL"
"483","530nm CWL, 25mm Dia, 55nm Bandwidth, OD 6 Fluorescence Filter",260,62,530
"484","530nm CWL, 50mm Dia, 55nm Bandwidth, OD 6 Fluorescence Filter",675,62,530
"485","534nm CWL, 12.5mm Dia, 20nm Bandwidth, OD 6 Fluorescence Filter",195,25,534
"486","534nm CWL, 25mm Dia, 20nm Bandwidth, OD 6 Fluorescence Filter",260,25,534
"487","534nm CWL, 50mm Dia, 20nm Bandwidth, OD 6 Fluorescence Filter",675,25,534
"488","535nm CWL, 12.5mm Dia, 43nm Bandwidth, OD 6 Fluorescence Filter",195,48,534.5
"489","535nm CWL, 25mm Dia, 43nm Bandwidth, OD 6 Fluorescence Filter",260,48,534.5
"490","535nm CWL, 50mm Dia, 43nm Bandwidth, OD 6 Fluorescence Filter",675,48,534.5
"491","540nm CWL, 12.5mm Dia, 50nm Bandwidth, OD 6 Fluorescence Filter",195,56,540
"492","540nm CWL, 25mm Dia, 50nm Bandwidth, OD 6 Fluorescence Filter",260,56,540
"493","540nm CWL, 50mm Dia, 50nm Bandwidth, OD 6 Fluorescence Filter",675,56,540
"494","543nm CWL, 12.5mm Dia, 22nm Bandwidth, OD 6 Fluorescence Filter",195,27,543
"495","543nm CWL, 25mm Dia, 22nm Bandwidth, OD 6 Fluorescence Filter",260,27,543
"496","543nm CWL, 50mm Dia, 22nm Bandwidth, OD 6 Fluorescence Filter",675,27,543
"497","549nm CWL, 12.5mm Dia, 15nm Bandwidth, OD 6 Fluorescence Filter",195,21,549
"498","549nm CWL, 25mm Dia, 15nm Bandwidth, OD 6 Fluorescence Filter",260,21,549
"499","549nm CWL, 50mm Dia, 15nm Bandwidth, OD 6 Fluorescence Filter",675,21,549
"500","550nm CWL, 12.5mm Dia, 93nm Bandwidth, OD 6 Fluorescence Filter",195,100,550
"501","550nm CWL, 25mm Dia, 93nm Bandwidth, OD 6 Fluorescence Filter",260,100,550
"502","550nm CWL, 50mm Dia, 93nm Bandwidth, OD 6 Fluorescence Filter",675,100,550
"503","560nm CWL, 12.5mm Dia, 25nm Bandwidth, OD 6 Fluorescence Filter",195,32,560
"504","560nm CWL, 25mm Dia, 25nm Bandwidth, OD 6 Fluorescence Filter",260,32,560
"505","560nm CWL, 50mm Dia, 25nm Bandwidth, OD 6 Fluorescence Filter",675,32,560
"506","561nm CWL, 12.5mm Dia, 14nm Bandwidth, OD 6 Fluorescence Filter",195,21,561
"507","561nm CWL, 25mm Dia, 14nm Bandwidth, OD 6 Fluorescence Filter",260,21,561
"508","561nm CWL, 50mm Dia, 14nm Bandwidth, OD 6 Fluorescence Filter",675,21,561
"509","562nm CWL, 12.5mm Dia, 40nm Bandwidth, OD 6 Fluorescence Filter",195,46,562
"510","562nm CWL, 25mm Dia, 40nm Bandwidth, OD 6 Fluorescence Filter",260,46,562
"511","562nm CWL, 50mm Dia, 40nm Bandwidth, OD 6 Fluorescence Filter",675,46,562
"512","572nm CWL, 12.5mm Dia, 28nm Bandwidth, OD 6 Fluorescence Filter",195,33,572
"513","572nm CWL, 25mm Dia, 28nm Bandwidth, OD 6 Fluorescence Filter",260,33,572
"514","572nm CWL, 50mm Dia, 28nm Bandwidth, OD 6 Fluorescence Filter",675,33,572
"515","575nm CWL, 12.5mm Dia, 27nm Bandwidth, OD 6 Fluorescence Filter",195,35,575
"516","575nm CWL, 25mm Dia, 27nm Bandwidth, OD 6 Fluorescence Filter",260,35,575
"517","575nm CWL, 50mm Dia, 27nm Bandwidth, OD 6 Fluorescence Filter",675,35,575
"518","578nm CWL, 12.5mm Dia, 16nm Bandwidth, OD 6 Fluorescence Filter",195,22,578
"519","578nm CWL, 25mm Dia, 16nm Bandwidth, OD 6 Fluorescence Filter",260,22,578
"520","578nm CWL, 50mm Dia, 16nm Bandwidth, OD 6 Fluorescence Filter",675,22,578
"521","585nm CWL, 12.5mm Dia, 36nm Bandwidth, OD 6 Fluorescence Filter",195,40,585
"522","585nm CWL, 25mm Dia, 36nm Bandwidth, OD 6 Fluorescence Filter",260,40,585
"523","585nm CWL, 50mm Dia, 36nm Bandwidth, OD 6 Fluorescence Filter",675,40,585
"524","586nm CWL, 12.5mm Dia, 20nm Bandwidth, OD 6 Fluorescence Filter",195,26,586
"525","586nm CWL, 25mm Dia, 20nm Bandwidth, OD 6 Fluorescence Filter",260,26,586
"526","586nm CWL, 50mm Dia, 20nm Bandwidth, OD 6 Fluorescence Filter",675,26,586
"527","592nm CWL, 12.5mm Dia, 43nm Bandwidth, OD 6 Fluorescence Filter",195,49,591.5
"528","592nm CWL, 25mm Dia, 43nm Bandwidth, OD 6 Fluorescence Filter",260,49,591.5
"529","592nm CWL, 50mm Dia, 43nm Bandwidth, OD 6 Fluorescence Filter",675,49,591.5
"530","605nm CWL, 12.5mm Dia, 15nm Bandwidth, OD 6 Fluorescence Filter",195,22,605
"531","605nm CWL, 25mm Dia, 15nm Bandwidth, OD 6 Fluorescence Filter",260,22,605
"532","605nm CWL, 50mm Dia, 15nm Bandwidth, OD 6 Fluorescence Filter",675,22,605
"533","607nm CWL, 12.5mm Dia, 36nm Bandwidth, OD 6 Fluorescence Filter",195,42,607
"534","607nm CWL, 25mm Dia, 36nm Bandwidth, OD 6 Fluorescence Filter",260,42,607
"535","607nm CWL, 50mm Dia, 36nm Bandwidth, OD 6 Fluorescence Filter",675,42,607
"536","615nm CWL, 12.5mm Dia, 20nm Bandwidth, OD 6 Fluorescence Filter",195,26,615
"537","615nm CWL, 25mm Dia, 20nm Bandwidth, OD 6 Fluorescence Filter",260,26,615
"538","615nm CWL, 50mm Dia, 20nm Bandwidth, OD 6 Fluorescence Filter",675,26,615
"539","620nm CWL, 12.5mm Dia, 56nm Bandwidth, OD 6 Fluorescence Filter",195,60,620
"540","620nm CWL, 25mm Dia, 56nm Bandwidth, OD 6 Fluorescence Filter",260,60,620
"541","620nm CWL, 50mm Dia, 56nm Bandwidth, OD 6 Fluorescence Filter",675,60,620
"542","623nm CWL, 12.5mm Dia, 24nm Bandwidth, OD 6 Fluorescence Filter",195,30,623
"543","623nm CWL, 25mm Dia, 24nm Bandwidth, OD 6 Fluorescence Filter",260,30,623
"544","623nm CWL, 50mm Dia, 24nm Bandwidth, OD 6 Fluorescence Filter",675,30,623
"545","624nm CWL, 12.5mm Dia, 40nm Bandwidth, OD 6 Fluorescence Filter",195,46,624
"546","624nm CWL, 25mm Dia, 40nm Bandwidth, OD 6 Fluorescence Filter",260,46,624
"547","624nm CWL, 50mm Dia, 40nm Bandwidth, OD 6 Fluorescence Filter",675,46,624
"548","625nm CWL, 12.5mm Dia, 15nm Bandwidth, OD 6 Fluorescence Filter",195,25,625
"549","625nm CWL, 25mm Dia, 15nm Bandwidth, OD 6 Fluorescence Filter",260,25,625
"550","625nm CWL, 50mm Dia, 15nm Bandwidth, OD 6 Fluorescence Filter",675,25,625
"551","628nm CWL, 12.5mm Dia, 32nm Bandwidth, OD 6 Fluorescence Filter",195,38,628
"552","628nm CWL, 25mm Dia, 32nm Bandwidth, OD 6 Fluorescence Filter",260,38,628
"553","628nm CWL, 50mm Dia, 32nm Bandwidth, OD 6 Fluorescence Filter",675,38,628
"554","631nm CWL, 12.5mm Dia, 21nm Bandwidth, OD 6 Fluorescence Filter",195,28,631
"555","631nm CWL, 25mm Dia, 21nm Bandwidth, OD 6 Fluorescence Filter",260,28,631
"556","631nm CWL, 50mm Dia, 21nm Bandwidth, OD 6 Fluorescence Filter",675,28,631
"557","640nm CWL, 12.5mm Dia, 14nm Bandwidth, OD 6 Fluorescence Filter",195,20,640
"558","640nm CWL, 25mm Dia, 14nm Bandwidth, OD 6 Fluorescence Filter",260,20,640
"559","640nm CWL, 50mm Dia, 14nm Bandwidth, OD 6 Fluorescence Filter",675,20,640
"560","641nm CWL, 12.5mm Dia, 75nm Bandwidth, OD 6 Fluorescence Filter",195,81,640.5
"561","641nm CWL, 25mm Dia, 75nm Bandwidth, OD 6 Fluorescence Filter",260,81,640.5
