Title,Stock Number,Price,Dia. (mm),CWL (nm),CWL Tolerance (nm),FWHM (nm),FWHM Tolerance (nm),Transmission (%),Blocking Wavelength Range (nm),Compatible Fluorophore,Optical Density OD,CA (mm),Surface Quality,Coating,Mount Thickness (mm),Substrate,Substrate Thickness (mm),Type,Typical Light Sources
"675nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-954,$205,25.00 +0.0/-0.1,675.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,DY-675 Absorption ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"675nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-966,$495,50.00 +0.0/-0.1,675.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,DY-675 Absorption ,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"700nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-775,$130,12.50 +0.0/-0.1,700.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,ATTO 680 Emission ,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,Broadband Illumination Source 
"700nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-787,$205,25.00 +0.0/-0.1,700.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,ATTO 680 Emission ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,Broadband Illumination Source 
"700nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-799,$495,50.00 +0.0/-0.1,700.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,ATTO 680 Emission ,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,Broadband Illumination Source 
"725nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-943,$130,12.50 +0.0/-0.1,725.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"FM 4-64, ATTO 725, Alexa Fluor® 700 ",?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"725nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-955,$205,25.00 +0.0/-0.1,725.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"FM 4-64, ATTO 725, Alexa Fluor® 700 ",?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"725nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-967,$495,50.00 +0.0/-0.1,725.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"FM 4-64, ATTO 725, Alexa Fluor® 700 ",?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"750nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-776,$130,12.50 +0.0/-0.1,750.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"DiR, HiLyte Fluor 750 ",?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,Broadband Illumination Source 
"750nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-788,$205,25.00 +0.0/-0.1,750.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"DiR, HiLyte Fluor 751 ",?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,Broadband Illumination Source 
