Title,Stock Number,Price,Dia. (mm),CWL (nm),CWL Tolerance (nm),FWHM (nm),FWHM Tolerance (nm),Minimum Transmission (%),Blocking Wavelength Range (nm),Optical Density OD,CA (mm),Surface Quality,Coating,Mount Thickness (mm),Substrate,Substrate Thickness (mm),Thickness Tolerance (mm),Type,Typical Applications
"350nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",39-183,$130,12.50 +0.0/-0.1,350 ,±2.0 ,10 ,±2.0 ,>50 ,200 - 650 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Fused Silica ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,
"350nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",39-184,$205,25.00 +0.0/-0.1,350 ,±2.0 ,10 ,±2.0 ,>50 ,200 - 650 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Fused Silica ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,
"350nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",39-185,$495,50.00 +0.0/-0.1,350 ,±2.0 ,10 ,±2.0 ,>50 ,200 - 650 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Fused Silica ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,
"355nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",34-490,$130,12.50 +0.0/-0.1,355 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,
"355nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",34-491,$205,25.00 +0.0/-0.1,355 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,
"355nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",34-492,$495,50.00 +0.0/-0.1,355 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,
"365nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-069,$130,12.50 +0.0/-0.1,365 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"4-Amino-5-Methylamino-2',7'-DiFluororescein, Europium Chelate, FC02F, Fluoro-Gold "
"365nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-130,$205,25.00 +0.0/-0.1,365 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"4-Amino-5-Methylamino-2',7'-DiFluororescein, Europium Chelate, FC02F, Fluoro-Gold "
"365nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-191,$495,50.00 +0.0/-0.1,365 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"4-Amino-5-Methylamino-2',7'-DiFluororescein, Europium Chelate, FC02F, Fluoro-Gold "
"375nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",86-732,$130,12.50 +0.0/-0.1,375 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,True Blue Chloride 
"375nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",86-736,$205,25.00 +0.0/-0.1,375 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,True Blue Chloride 
"375nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",86-740,$495,50.00 +0.0/-0.1,375 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,True Blue Chloride 
"394nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-070,$130,12.50 +0.0/-0.1,394 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,mBBr+GSH Absorption 
"394nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-131,$205,25.00 +0.0/-0.1,394 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,mBBr+GSH Absorption 
"394nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-192,$495,50.00 +0.0/-0.1,394 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,mBBr+GSH Absorption 
"400nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-071,$130,12.50 +0.0/-0.1,400 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"7-Dimethylamino-4-Methylcoumarin-3-Isothiocyanate, CellTrace calcein violet, Pacific Blue, Pacific Orange "
"400nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-132,$205,25.00 +0.0/-0.1,400 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"7-Dimethylamino-4-Methylcoumarin-3-Isothiocyanate, CellTrace calcein violet, Pacific Blue, Pacific Orange "
"400nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-193,$495,50.00 +0.0/-0.1,400 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"7-Dimethylamino-4-Methylcoumarin-3-Isothiocyanate, CellTrace calcein violet, Pacific Blue, Pacific Orange "
"405nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-072,$130,12.50 +0.0/-0.1,405 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Brilliant Violet 510, SpectrumBlue "
"405nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-133,$205,25.00 +0.0/-0.1,405 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Brilliant Violet 510, SpectrumBlue "
"405nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-194,$495,50.00 +0.0/-0.1,405 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Brilliant Violet 510, SpectrumBlue "
"413nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",34-493,$130,12.50 +0.0/-0.1,413 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,
"413nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",34-494,$205,25.00 +0.0/-0.1,413 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,
